dataset,indicator,atoll_official,island,value,atoll_official_name,adm1_pcode,local_names,adm2_pcode,indicator2,value2
Employment,Labour force participation rate (%),Baa Atoll,Thulhaadhoo,56.734006734006734,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007009,Labour force participation rate (%),56.734006734006734
Employment,Employment-to-population ratio (%),Baa Atoll,Thulhaadhoo,53.70370370370371,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007009,Employment-to-population ratio (%),53.70370370370371
Employment,Unemployment rate (%),Baa Atoll,Thulhaadhoo,5.341246290801187,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007009,Unemployment rate (%),5.341246290801187
Employment,Combined rate of unemployment and potential labour force (%),Baa Atoll,Thulhaadhoo,21.23456790123457,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007009,Combined rate of unemployment and potential labour force (%),21.23456790123457
Employment,Inactivity rate (%),Baa Atoll,Thulhaadhoo,43.265993265993266,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007009,Inactivity rate (%),43.265993265993266
Employment,Youth unemployment rate (15-24 years) (%),Baa Atoll,Thulhaadhoo,22.36842105263158,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007009,Youth unemployment rate (15-24 years) (%),22.36842105263158
Employment,Youth unemployment rate (18-35years) (%),Baa Atoll,Thulhaadhoo,7.421875,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007009,Youth unemployment rate (18-35years) (%),7.421875
Employment,NEET rate (15-24 years) (%),Baa Atoll,Thulhaadhoo,30.128205128205128,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007009,NEET rate (15-24 years) (%),30.128205128205128
Employment,NEET rate (18-35 years) (%),Baa Atoll,Thulhaadhoo,7.671232876712329,Maalhosmadulu Dhekunuburi,MV007,Baa (B),MV007009,NEET rate (18-35 years) (%),7.671232876712329
Employment,Labour force participation rate (%),Alif Uthuru Buri,Bodufolhudhoo,68.78850102669405,Ari Atholhu Uthuruburi,MV008,Alif Alif (AA),MV008005,Labour force participation rate (%),68.78850102669405
Employment,Employment-to-population ratio (%),Alif Uthuru Buri,Bodufolhudhoo,66.32443531827515,Ari Atholhu Uthuruburi,MV008,Alif Alif (AA),MV008005,Employment-to-population ratio (%),66.32443531827515
Employment,Unemployment rate (%),Alif Uthuru Buri,Bodufolhudhoo,3.582089552238806,Ari Atholhu Uthuruburi,MV008,Alif Alif (AA),MV008005,Unemployment rate (%),3.582089552238806
Employment,Combined rate of unemployment and potential labour force (%),Alif Uthuru Buri,Bodufolhudhoo,10.526315789473683,Ari Atholhu Uthuruburi,MV008,Alif Alif (AA),MV008005,Combined rate of unemployment and potential labour force (%),10.526315789473683
Employment,Inactivity rate (%),Alif Uthuru Buri,Bodufolhudhoo,31.211498973305957,Ari Atholhu Uthuruburi,MV008,Alif Alif (AA),MV008005,Inactivity rate (%),31.211498973305957
Employment,Youth unemployment rate (15-24 years) (%),Alif Uthuru Buri,Bodufolhudhoo,10.81081081081081,Ari Atholhu Uthuruburi,MV008,Alif Alif (AA),MV008005,Youth unemployment rate (15-24 years) (%),10.81081081081081
Employment,Youth unemployment rate (18-35years) (%),Alif Uthuru Buri,Bodufolhudhoo,5.755395683453238,Ari Atholhu Uthuruburi,MV008,Alif Alif (AA),MV008005,Youth unemployment rate (18-35years) (%),5.755395683453238
Employment,NEET rate (15-24 years) (%),Alif Uthuru Buri,Bodufolhudhoo,21.951219512195124,Ari Atholhu Uthuruburi,MV008,Alif Alif (AA),MV008005,NEET rate (15-24 years) (%),21.951219512195124
Employment,NEET rate (18-35 years) (%),Alif Uthuru Buri,Bodufolhudhoo,8.426966292134832,Ari Atholhu Uthuruburi,MV008,Alif Alif (AA),MV008005,NEET rate (18-35 years) (%),8.426966292134832
Employment,Labour force participation rate (%),Dhaal Atoll,Badidhoo,72.66514806378133,Nilandhe Atholhu Dhekunuburi,MV012,Dhaalu (Dh),MV012002,Labour force participation rate (%),72.66514806378133
Employment,Employment-to-population ratio (%),Dhaal Atoll,Badidhoo,68.10933940774487,Nilandhe Atholhu Dhekunuburi,MV012,Dhaalu (Dh),MV012002,Employment-to-population ratio (%),68.10933940774487
Employment,Unemployment rate (%),Dhaal Atoll,Badidhoo,6.269592476489027,Nilandhe Atholhu Dhekunuburi,MV012,Dhaalu (Dh),MV012002,Unemployment rate (%),6.269592476489027
