Category,Sum of Value,ADMIN LEVEL-1 (Division),ADMIN LEVEL-2 (District) ,BDP Climate Zone,Column,Sum of Geocode,Sum of Rank-Coping Capacity,Sum of Rank-Vulnerability,RISK CLASS,RISK CLASS-Lack of Coping Capcity,RISK CLASS-Vulnerability,RISK CLASS_Hazard Exposure,Sum of Rank-Risk
Flood Risk ( Riverine and Flash Flood),8.8,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Flood Risk ( Riverine and Flash Flood),6.6,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Flood Risk ( Riverine and Flash Flood),5,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Flood Risk ( Riverine and Flash Flood),6,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Flood Risk ( Riverine and Flash Flood),5.9,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Flood Risk ( Riverine and Flash Flood),6.2,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Flood Risk ( Riverine and Flash Flood),9,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Food Security,7.2,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Food Security,7.5,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Food Security,6.5,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Food Security,7.9,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Food Security,8.4,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Food Security,6,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Food Security,5.6,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Food Security,7.8,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Food Security,7.8,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Food Security,8.8,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Food Security,9.6,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Food Security,5.8,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Food Security,7.4,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Food Security,5.9,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Food Security,6.4,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Food Security,7.3,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Food Security,6.2,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Governance,7,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Governance,7,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Governance,7,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Governance,7,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Governance,7,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Governance,7,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Governance,7,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Governance,7,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Governance,7,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Governance,7,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Governance,7,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Governance,7,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Governance,7,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Governance,7,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Governance,7,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Governance,7,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Governance,7,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
HAZARD & EXPOSURE,6.2,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
HAZARD & EXPOSURE,5.8,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
HAZARD & EXPOSURE,6.1,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
HAZARD & EXPOSURE,5.7,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
HAZARD & EXPOSURE,6.3,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
HAZARD & EXPOSURE,6.3,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
HAZARD & EXPOSURE,6.3,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
HAZARD & EXPOSURE,6.3,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
HAZARD & EXPOSURE,6.1,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
HAZARD & EXPOSURE,6.3,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
HAZARD & EXPOSURE,6.2,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
HAZARD & EXPOSURE,5.7,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
HAZARD & EXPOSURE,5.7,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
HAZARD & EXPOSURE,5.7,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
HAZARD & EXPOSURE,5.9,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
HAZARD & EXPOSURE,6,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
HAZARD & EXPOSURE,6.4,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Human Hazard,6.4,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Human Hazard,6.4,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Human Hazard,6.4,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Human Hazard,6.4,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Human Hazard,6.4,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Human Hazard,6.4,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Human Hazard,6.4,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Human Hazard,6.4,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Human Hazard,6.4,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Human Hazard,6.4,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Human Hazard,6.4,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Human Hazard,6.4,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Human Hazard,6.4,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Human Hazard,6.4,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Human Hazard,6.4,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Human Hazard,6.4,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Human Hazard,6.4,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
Inequality,5.2,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
Inequality,5.7,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
Inequality,6.1,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
Inequality,5.1,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
Inequality,5.7,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
Inequality,5.5,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
Inequality,5.4,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
Inequality,5.6,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
Inequality,5.6,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
Inequality,5.6,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
Inequality,5.5,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
Inequality,5.6,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
Inequality,5.2,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
Inequality,5.2,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
Inequality,5.7,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
Inequality,5.3,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
Inequality,5.6,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
INFORM Infrastructure,4.7,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
INFORM Infrastructure,3.6,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
INFORM Infrastructure,3.9,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
INFORM Infrastructure,3.3,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
INFORM Infrastructure,4.4,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
INFORM Infrastructure,3.8,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
INFORM Infrastructure,2.9,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
INFORM Infrastructure,4.3,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
INFORM Infrastructure,2.9,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
INFORM Infrastructure,3.8,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
INFORM Infrastructure,4.3,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
INFORM Infrastructure,3.5,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
INFORM Infrastructure,2.8,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
INFORM Infrastructure,3.5,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
INFORM Infrastructure,2.8,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
INFORM Infrastructure,3.2,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
INFORM Infrastructure,4.4,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
INFORM Natural Hazard,5.9,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
INFORM Natural Hazard,5.2,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
INFORM Natural Hazard,5.7,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
INFORM Natural Hazard,5,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
INFORM Natural Hazard,6.2,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
INFORM Natural Hazard,6.1,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
INFORM Natural Hazard,6.1,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
INFORM Natural Hazard,6.2,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
INFORM Natural Hazard,5.8,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
INFORM Natural Hazard,6.1,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
INFORM Natural Hazard,6,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
INFORM Natural Hazard,5,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
INFORM Natural Hazard,4.9,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
INFORM Natural Hazard,4.9,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
INFORM Natural Hazard,5.3,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
INFORM Natural Hazard,5.6,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
INFORM Natural Hazard,6.4,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
INFORM Other Vulnerable Groups,6.1,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
INFORM Other Vulnerable Groups,5.1,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
INFORM Other Vulnerable Groups,6,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
INFORM Other Vulnerable Groups,5.5,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
INFORM Other Vulnerable Groups,5.3,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
INFORM Other Vulnerable Groups,4.3,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
INFORM Other Vulnerable Groups,4.2,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
INFORM Other Vulnerable Groups,6.5,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
INFORM Other Vulnerable Groups,5.7,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
INFORM Other Vulnerable Groups,6.4,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
INFORM Other Vulnerable Groups,7.6,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
INFORM Other Vulnerable Groups,5.2,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
INFORM Other Vulnerable Groups,5.6,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
INFORM Other Vulnerable Groups,6.4,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
INFORM Other Vulnerable Groups,4.7,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
INFORM Other Vulnerable Groups,5.4,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
INFORM Other Vulnerable Groups,5.2,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
INFORM RISK,5.9,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
INFORM RISK,5.1,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
INFORM RISK,5.6,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
INFORM RISK,5.4,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
INFORM RISK,5.4,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
INFORM RISK,5.2,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
INFORM RISK,5,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
INFORM RISK,5.8,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
INFORM RISK,5.5,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
INFORM RISK,5.7,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
INFORM RISK,5.8,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
INFORM RISK,5.4,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
INFORM RISK,5.2,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
INFORM RISK,5.2,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
INFORM RISK,5.4,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
INFORM RISK,5.2,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
INFORM RISK,5.6,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
INFORM Socio-Economic Vulnerability,5.9,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
INFORM Socio-Economic Vulnerability,4.9,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
INFORM Socio-Economic Vulnerability,5.3,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
INFORM Socio-Economic Vulnerability,5.4,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
INFORM Socio-Economic Vulnerability,5.5,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
INFORM Socio-Economic Vulnerability,5.5,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
INFORM Socio-Economic Vulnerability,4.9,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
INFORM Socio-Economic Vulnerability,5.5,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
INFORM Socio-Economic Vulnerability,5.8,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
INFORM Socio-Economic Vulnerability,5.9,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
INFORM Socio-Economic Vulnerability,6.1,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
INFORM Socio-Economic Vulnerability,5.8,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
INFORM Socio-Economic Vulnerability,5.6,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
INFORM Socio-Economic Vulnerability,5.2,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
INFORM Socio-Economic Vulnerability,6.2,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
INFORM Socio-Economic Vulnerability,5.1,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
INFORM Socio-Economic Vulnerability,5.6,Sylhet,Habiganj,Barind and Drought Prone Areas,BD6036,6036,7,38,High,Very High,Low,High,16
INFORM Vulnerability,5.8,Mymensingh,Jamalpur,Barind and Drought Prone Areas,BD4539,4539,7,13,Very High,Very High,High,High,5
INFORM Vulnerability,4.5,Rajshahi,Joypurhat,Barind and Drought Prone Areas,BD5038,5038,25,52,Low,High,Low,Low,52
INFORM Vulnerability,5.4,Rajshahi,Naogaon,Barind and Drought Prone Areas,BD5064,5064,17,28,High,High,Medium,Medium,16
INFORM Vulnerability,5.5,Rajshahi,Natore,Barind and Drought Prone Areas,BD5069,5069,30,23,Medium,Medium,Medium,Very Low,31
INFORM Vulnerability,4.5,Rajshahi,Nawabganj,Barind and Drought Prone Areas,BD5070,5070,10,52,Medium,Very High,Low,High,31
INFORM Vulnerability,4.3,Rajshahi,Pabna,Barind and Drought Prone Areas,BD5076,5076,17,57,Low,High,Very Low,High,45
INFORM Vulnerability,4.1,Rajshahi,Rajshahi,Barind and Drought Prone Areas,BD5081,5081,44,60,Low,Low,Very Low,High,56
INFORM Vulnerability,5.9,Rajshahi,Sirajganj,Barind and Drought Prone Areas,BD5088,5088,17,11,High,High,High,High,8
INFORM Vulnerability,5.7,Rangpur,Dinajpur,Barind and Drought Prone Areas,BD5527,5527,44,15,Medium,Low,Medium,Medium,25
INFORM Vulnerability,5.7,Rangpur,Gaibandha,Barind and Drought Prone Areas,BD5532,5532,25,15,High,High,Medium,High,11
INFORM Vulnerability,6.1,Rangpur,Kurigram,Barind and Drought Prone Areas,BD5549,5549,25,7,High,High,High,High,8
INFORM Vulnerability,5.4,Rangpur,Lalmonirhat,Barind and Drought Prone Areas,BD5552,5552,30,28,Medium,Medium,Medium,Very Low,31
INFORM Vulnerability,5.1,Rangpur,Nilphamari,Barind and Drought Prone Areas,BD5573,5573,58,33,Low,Low,Low,Very Low,45
INFORM Vulnerability,4.9,Rangpur,Panchagarh,Barind and Drought Prone Areas,BD5577,5577,30,38,Low,Medium,Low,Very Low,45
INFORM Vulnerability,5.5,Rangpur,Rangpur,Barind and Drought Prone Areas,BD5585,5585,54,23,Medium,Low,Medium,Low,31
INFORM Vulnerability,4.7,Rangpur,Thakurgaon,Barind and Drought Prone Areas,BD5594,5594,39,46,Low,Medium,Low,Medium,45
