iso3,country,year,conflict_stock_displacement,conflict_stock_displacement_raw,conflict_internal_displacements,conflict_internal_displacements_raw,disaster_internal_displacements,disaster_internal_displacements_raw,disaster_stock_displacement,disaster_stock_displacement_raw,total_displacement,population,disaster_per_100k,conflict_per_100k,total_displacement_per_100k
VNM,Viet Nam,2016,NA,0,NA,NA,81000,80537,NA,0,0,93126529,NA,0,0
AFG,Afghanistan,2015,1174000,1174306,335000,335409,71000,70948,NA,0,0,33753499,NA,3479.064496,0
AUS,Australia,2015,NA,0,NA,NA,5700,5713,NA,0,0,23815995,NA,0,0
BGD,Bangladesh,2015,426000,426438,NA,0,531000,531099,NA,0,0,157830000,NA,270.188177,0
BTN,Bhutan,2015,NA,0,NA,NA,2900,2851,NA,0,0,743274,NA,0,0
CHN,China,2015,NA,0,NA,NA,3602000,3602368,NA,0,0,1379860000,NA,0,0
FSM,Micronesia,2015,NA,0,NA,NA,6800,6760,NA,0,0,109462,NA,0,0
IDN,Indonesia,2015,6100,6057,150,153,204000,203913,NA,0,0,259091970,NA,2.33778,0
IND,India,2015,612000,611763,1000,1000,3655000,3654637,NA,0,0,1322866505,NA,46.245256,0
IRN,Iran,2015,NA,0,NA,NA,5400,5350,NA,0,0,81790841,NA,0,0
JPN,Japan,2015,NA,0,NA,NA,486000,486114,NA,0,0,127141000,NA,0,0
KHM,Cambodia,2015,NA,0,NA,NA,8900,8859,NA,0,0,15417523,NA,0,0
KIR,Kiribati,2015,NA,0,NA,NA,2500,2520,NA,0,0,116707,NA,0,0
LAO,Lao PDR,2015,NA,0,NA,NA,12000,11951,NA,0,0,6787419,NA,0,0
MMR,Myanmar,2015,644000,644000,16000,16000,1618000,1618261,NA,0,0,51483949,NA,1250.875297,0
MYS,Malaysia,2015,NA,0,NA,NA,21000,20607,NA,0,0,31068833,NA,0,0
NZL,New Zealand,2015,NA,0,NA,NA,440,440,NA,0,0,4609400,NA,0,0
PAK,Pakistan,2015,1459000,1459312,NA,0,1002000,1001665,NA,0,0,210969298,NA,691.717711,0
PHL,Philippines,2015,62000,62454,288000,287970,2221000,2221158,NA,0,0,103031365,NA,60.616493,0
PNG,Papua New Guinea,2015,6300,6300,NA,0,NA,NA,NA,0,0,8682174,NA,72.562471,0
