adm1_pcode,atoll_official,island,adm2_en,adm2_pcode,local_names,concat
MV017,Gaaf Dhaal Atoll,Gadhdhoo,Gahdhoo,MV017004,Gaafu Dhaalu (GDh),"Gadhdhoo, Gaafu Dhaalu (GDh)"
MV017,Gaaf Dhaal Atoll,Hoandedhdhoo,Hoadehdhoo,MV017002,Gaafu Dhaalu (GDh),"Hoandedhdhoo, Gaafu Dhaalu (GDh)"
MV017,Gaaf Dhaal Atoll,Madaveli,Madaveli,MV017001,Gaafu Dhaalu (GDh),"Madaveli, Gaafu Dhaalu (GDh)"
MV017,Gaaf Dhaal Atoll,Nadallaa,Nadellaa,MV017003,Gaafu Dhaalu (GDh),"Nadallaa, Gaafu Dhaalu (GDh)"
MV017,Gaaf Dhaal Atoll,Rathafandhoo,Rathafandhoo,MV017005,Gaafu Dhaalu (GDh),"Rathafandhoo, Gaafu Dhaalu (GDh)"
MV017,Gaaf Dhaal Atoll,Thinadhoo,Thinadhoo,MV017010,Gaafu Dhaalu (GDh),"Thinadhoo, Gaafu Dhaalu (GDh)"
MV017,Gaaf Dhaal Atoll,Vaadhoo,Vaadhoo,MV017006,Gaafu Dhaalu (GDh),"Vaadhoo, Gaafu Dhaalu (GDh)"
MV018,Gnaviyani Atoll,Fuvahmulah,Fuvahmulah,MV018001,Gnaviyani (Gn),"Fuvahmulah, Gnaviyani (Gn)"
MV019,Seenu Atoll,Feydhoo,Feydhoo,MV019004,Addu (S),"Feydhoo, Addu (S)"
MV019,Seenu Atoll,Hithadhoo,Hithadhoo,MV019002,Addu (S),"Hithadhoo, Addu (S)"
MV019,Seenu Atoll,Hulhumeedhoo,Meedhoo,MV019001,Addu (S),"Hulhumeedhoo, Addu (S)"
MV019,Seenu Atoll,Maradhoo,Maradhoo,MV019003,Addu (S),"Maradhoo, Addu (S)"
MV019,Seenu Atoll,Maradhoo-Feydhoo,Maradhoofeydhoo,MV019005,Addu (S),"Maradhoo-Feydhoo, Addu (S)"
MV020,Alif Dhekunu Buri,Dhangethi,Dhan'gethi,MV020006,Alif Dhaal (ADh),"Dhangethi, Alif Dhaal (ADh)"
MV020,Alif Dhekunu Buri,Dhidhdhoo,Dhihdhoo,MV020009,Alif Dhaal (ADh),"Dhidhdhoo, Alif Dhaal (ADh)"
MV020,Alif Dhekunu Buri,Dhigurah,Dhigurah,MV020007,Alif Dhaal (ADh),"Dhigurah, Alif Dhaal (ADh)"
MV020,Alif Dhekunu Buri,Fenfushi,Fenfushi,MV020008,Alif Dhaal (ADh),"Fenfushi, Alif Dhaal (ADh)"
MV020,Alif Dhekunu Buri,Hanghghaameedhoo,Hangnaameedhoo,MV020001,Alif Dhaal (ADh),"Hanghghaameedhoo, Alif Dhaal (ADh)"
MV020,Alif Dhekunu Buri,Kunburudhoo,NA,MV020003,Alif Dhaal (ADh),"Kunburudhoo, Alif Dhaal (ADh)"
MV020,Alif Dhekunu Buri,Mahibadhoo,Mahibadhoo,MV020004,Alif Dhaal (ADh),"Mahibadhoo, Alif Dhaal (ADh)"
MV020,Alif Dhekunu Buri,Mandhoo,Mandhoo,MV020005,Alif Dhaal (ADh),"Mandhoo, Alif Dhaal (ADh)"
MV020,Alif Dhekunu Buri,Omadhoo,Omadhoo,MV020002,Alif Dhaal (ADh),"Omadhoo, Alif Dhaal (ADh)"
MV020,Alif Dhekunu Buri,Maamigili,Maamin'gili,MV020010,Alif Dhaal (ADh),"Maamigili, Alif Dhaal (ADh)"
MV020,Alif Dhekunu Buri,Rangali,Rangali,MV020075,Alif Dhaal (ADh),"Rangali, Alif Dhaal (ADh)"
MV021,Greater Male Region,Male',NA,MV021001,Male,"Male', Male"
MV021,Greater Male Region,Hulhumale',NA,MV021003,Male,"Hulhumale', Male"
MV021,Greater Male Region,Vilimale',NA,MV021002,Male,"Vilimale', Male"
