Atoll,island,atoll_official,indicator_full,value,sex_modifier,population_modifier,indicator,indicator2,value2
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population (%) Child Population (International) (0-14 yrs),29.866989117291414,NA,Resident Maldivians, (%) Child Population (International) (0-14 yrs), (%) Child Population (International) (0-14 yrs),29.866989117291414
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population (%) Adolescent Population (International) (10-19 yrs),15.114873035066505,NA,Resident Maldivians, (%) Adolescent Population (International) (10-19 yrs), (%) Adolescent Population (International) (10-19 yrs),15.114873035066505
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population (%) Working Age Population (15-64 yrs),60.39903264812576,NA,Resident Maldivians, (%) Working Age Population (15-64 yrs), (%) Working Age Population (15-64 yrs),60.39903264812576
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population (%) Youth Population (International) (15-24 yrs),6.952841596130592,NA,Resident Maldivians, (%) Youth Population (International) (15-24 yrs), (%) Youth Population (International) (15-24 yrs),6.952841596130592
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population (%) Youth Population (National) (18-35 yrs),22.430471584038695,NA,Resident Maldivians, (%) Youth Population (National) (18-35 yrs), (%) Youth Population (National) (18-35 yrs),22.430471584038695
HA,Hoarafushi,Haa Alif Atoll,Resident Maldivian Population (%) Elderly Population  (65+ yrs),9.73397823458283,NA,Resident Maldivians, (%) Elderly Population  (65+ yrs), (%) Elderly Population  (65+ yrs),9.73397823458283
HA,Hoarafushi,Haa Alif Atoll,Area (in hectare),69.022371,NA,NA,Area (in hectare),Area (in hectare),69.022371
HA,Hoarafushi,Haa Alif Atoll,Area (in sq km),0.69022371,NA,NA,Area (in sq km),Area (in sq km),0.69022371
HA,Hoarafushi,Haa Alif Atoll,Population density Resident Maldivian Population,2396.3245191910314,NA,Resident Maldivians,Population density ,Population density ,2396.3245191910314
HA,Hoarafushi,Haa Alif Atoll,Median Age Resident Maldivians,33,NA,Resident Maldivians,Median Age Resident Maldivians,Median Age Resident Maldivians,33
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivians Population Both sexes,2699,Both sexes,Resident Maldivians,Resident Maldivians Population Both sexes,Resident Maldivians Population Both sexes,2699
HA,Ihavandhoo,Haa Alif Atoll,Growth Rate (for Resident Maldivian Population - 2014 to 2022),1.155363737508745,NA,Resident Maldivians,Growth Rate (for  - 2014 to 2022),Growth Rate (for  - 2014 to 2022),1.155363737508745
HA,Ihavandhoo,Haa Alif Atoll,Resident Foreigners (%) (out of resident Population),6.056387051862165,NA,NA,Resident Foreigners (%) (out of resident Population),Resident Foreigners (%) (out of resident Population),6.056387051862165
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Sex Ratio (males per 100 female),88.6093640810622,NA,Resident Maldivians, 2022 Sex Ratio (males per 100 female), 2022 Sex Ratio (males per 100 female),88.6093640810622
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Dependency Ratio,69.74842767295597,NA,Resident Maldivians, 2022 Dependency Ratio, 2022 Dependency Ratio,69.74842767295597
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Child Dependency Ratio,61.50943396226415,NA,Resident Maldivians, 2022 Child Dependency Ratio, 2022 Child Dependency Ratio,61.50943396226415
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Aged-Dependency Ratio,8.238993710691824,NA,Resident Maldivians, 2022 Aged-Dependency Ratio, 2022 Aged-Dependency Ratio,8.238993710691824
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (0-17 yrs) Both sexes,1124,Both sexes,Resident Maldivians, 2022 Child Population (0-17 yrs) Both sexes, 2022 Child Population (0-17 yrs) Both sexes,1124
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Child Population (International) (0-14 yrs) Both sexes,978,Both sexes,Resident Maldivians, 2022 Child Population (International) (0-14 yrs) Both sexes, 2022 Child Population (International) (0-14 yrs) Both sexes,978
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Adolescent Population (International) (10-19 yrs) Both sexes,515,Both sexes,Resident Maldivians, 2022 Adolescent Population (International) (10-19 yrs) Both sexes, 2022 Adolescent Population (International) (10-19 yrs) Both sexes,515
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Working Age Population (15-64 yrs) Both sexes,1590,Both sexes,Resident Maldivians, 2022 Working Age Population (15-64 yrs) Both sexes, 2022 Working Age Population (15-64 yrs) Both sexes,1590
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Youth Population (International) (15-24 yrs) Both sexes,322,Both sexes,Resident Maldivians, 2022 Youth Population (International) (15-24 yrs) Both sexes, 2022 Youth Population (International) (15-24 yrs) Both sexes,322
HA,Ihavandhoo,Haa Alif Atoll,Resident Maldivian Population 2022 Youth Population (National) (18-35 yrs) Both sexes,709,Both sexes,Resident Maldivians, 2022 Youth Population (National) (18-35 yrs) Both sexes, 2022 Youth Population (National) (18-35 yrs) Both sexes,709
